Filename,n_sentences,n_tokens,tokens_per_sent,char_per_tok,ttr_lemma_chunks_100,ttr_lemma_chunks_200,ttr_form_chunks_100,ttr_form_chunks_200,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_AUX,upos_dist_CCONJ,upos_dist_DET,upos_dist_INTJ,upos_dist_NOUN,upos_dist_NUM,upos_dist_PART,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_SYM,upos_dist_VERB,upos_dist_X,lexical_density,verbs_tense_dist_Fut,verbs_tense_dist_Imp,verbs_tense_dist_Past,verbs_tense_dist_Pres,verbs_mood_dist_Cnd,verbs_mood_dist_Imp,verbs_mood_dist_Ind,verbs_mood_dist_Sub,verbs_form_dist_Fin,verbs_form_dist_Ger,verbs_form_dist_Inf,verbs_form_dist_Part,verbs_num_pers_dist_+3,verbs_num_pers_dist_Plur+,verbs_num_pers_dist_Plur+1,verbs_num_pers_dist_Plur+2,verbs_num_pers_dist_Plur+3,verbs_num_pers_dist_Sing+1,verbs_num_pers_dist_Sing+2,verbs_num_pers_dist_Sing+3,aux_tense_dist_Fut,aux_tense_dist_Imp,aux_tense_dist_Past,aux_tense_dist_Pres,aux_mood_dist_Cnd,aux_mood_dist_Imp,aux_mood_dist_Ind,aux_mood_dist_Sub,aux_form_dist_Fin,aux_form_dist_Ger,aux_form_dist_Inf,aux_form_dist_Part,aux_num_pers_dist_Plur+1,aux_num_pers_dist_Plur+2,aux_num_pers_dist_Plur+3,aux_num_pers_dist_Sing+1,aux_num_pers_dist_Sing+2,aux_num_pers_dist_Sing+3,verbal_head_per_sent,verbal_root_perc,avg_verb_edges,verb_edges_dist_0,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verb_edges_dist_5,verb_edges_dist_6,avg_max_depth,avg_token_per_clause,avg_max_links_len,avg_links_len,max_links_len,avg_prepositional_chain_len,n_prepositional_chains,prep_dist_1,prep_dist_2,prep_dist_3,prep_dist_4,prep_dist_5,obj_pre,obj_post,subj_pre,subj_post,dep_dist_acl,dep_dist_acl:relcl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_appos,dep_dist_aux,dep_dist_aux:pass,dep_dist_case,dep_dist_cc,dep_dist_ccomp,dep_dist_compound,dep_dist_conj,dep_dist_cop,dep_dist_csubj,dep_dist_det,dep_dist_det:poss,dep_dist_det:predet,dep_dist_discourse,dep_dist_dislocated,dep_dist_expl,dep_dist_expl:impers,dep_dist_expl:pass,dep_dist_fixed,dep_dist_flat,dep_dist_flat:foreign,dep_dist_flat:name,dep_dist_iobj,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nsubj:pass,dep_dist_nummod,dep_dist_obj,dep_dist_obl,dep_dist_obl:agent,dep_dist_orphan,dep_dist_parataxis,dep_dist_punct,dep_dist_root,dep_dist_vocative,dep_dist_xcomp,principal_proposition_dist,subordinate_proposition_dist,subordinate_post,subordinate_pre,avg_subordinate_chain_len,subordinate_dist_1,subordinate_dist_2,subordinate_dist_3,subordinate_dist_4,subordinate_dist_5
MSAL18-F1.conllu,57,1684,29.54385965,4.472963723,0.6,0.505,0.69,0.595,4.394299287,12.94536817,5.641330166,4.988123515,3.741092637,13.95486936,0.059382423,15.67695962,1.840855107,0,7.719714964,3.622327791,13.24228029,1.128266033,0.950118765,9.976247031,0.118764846,0.453114305,4.838709677,2.419354839,43.5483871,49.19354839,0,0,100,0,42.85714286,3.571428571,22.61904762,30.95238095,0,0,12.5,1.388888889,18.05555556,25,2.777777778,40.27777778,0,4.87804878,1.219512195,93.90243902,7.407407407,0,88.88888889,3.703703704,96.42857143,0,2.380952381,1.19047619,6.172839506,0,37.03703704,7.407407407,0,49.38271605,3.50877193,85.96491228,2.494047619,0,21.34146341,31.09756098,25.6097561,15.85365854,4.87804878,1.219512195,5.210526316,8.42,14.98245614,3.422364672,72,1.209876543,81,83.95061728,11.11111111,4.938271605,0,0,31.73076923,68.26923077,78.26086957,21.73913043,0.831353919,2.434679335,1.662707838,5.403800475,3.087885986,0.118764846,2.850356295,0.178147268,11.57957245,3.741092637,0.712589074,0.059382423,5.047505938,1.959619952,0.178147268,12.94536817,0.712589074,0.237529691,0.059382423,0,0.831353919,0.059382423,0,0.237529691,0,0,0.118764846,0.771971496,2.553444181,7.125890736,5.166270784,0.118764846,1.603325416,5.403800475,4.809976247,0,0,0.178147268,13.24228029,3.3847981,0,0.593824228,30.24691358,69.75308642,84.95575221,15.04424779,1.407407407,71.60493827,22.22222222,3.703703704,1.234567901,0
GNAP61-T1.conllu,23,947,41.17391304,4.663885578,0.58,0.51,0.67,0.575,6.124604013,15.73389652,5.174234424,3.590285111,4.435058078,17.10665259,0.105596621,19.21858501,1.372756072,0,4.857444562,1.795142555,11.40443506,1.795142555,0,7.286166843,0,0.446960667,0,2.040816327,34.69387755,63.26530612,0,0,93.93939394,6.060606061,47.82608696,8.695652174,20.28985507,23.1884058,0,0,12.12121212,0,24.24242424,15.15151515,3.03030303,45.45454545,0,3.03030303,12.12121212,84.84848485,3.333333333,0,73.33333333,23.33333333,88.23529412,0,2.941176471,8.823529412,3.333333333,0,53.33333333,3.333333333,0,40,3.434782609,91.30434783,2.768115942,0,12.5,26.5625,29.6875,15.625,12.5,3.125,6.304347826,11.98734177,20.73913043,3.302696078,52,1.34,50,76,20,2,0,0,19.23076923,80.76923077,83.72093023,16.27906977,0.422386484,1.267159451,1.267159451,4.963041183,5.385427666,0.316789863,2.217529039,0.316789863,14.88912355,4.435058078,0.950369588,0.105596621,5.279831045,1.055966209,0,15.73389652,1.372756072,0,0.105596621,0,0.633579725,0.422386484,0.105596621,0.527983105,0.316789863,0,0.211193242,0.105596621,2.217529039,7.497360084,4.223864836,0.316789863,0.739176346,2.639915523,5.279831045,0,0,0.105596621,11.40443506,2.428722281,0.105596621,0.633579725,34.42622951,65.57377049,87.5,12.5,1.333333333,70,26.66666667,3.333333333,0,0
MORF10-T1.conllu,14,373,26.64285714,4.797583082,0.59,0.515,0.74,0.63,7.238605898,13.94101877,5.898123324,5.361930295,2.144772118,13.94101877,0,17.42627346,0.268096515,0,8.847184987,2.144772118,11.26005362,2.412868633,0,9.115281501,0,0.471299094,0,5,45,50,0,9.090909091,90.90909091,0,32.35294118,5.882352941,35.29411765,26.47058824,0,0,9.090909091,9.090909091,18.18181818,0,0,63.63636364,0,5,10,85,16.66666667,0,83.33333333,0,90,0,0,10,0,0,22.22222222,0,0,77.77777778,2.928571429,64.28571429,2.823529412,2.941176471,5.882352941,38.23529412,23.52941176,20.58823529,5.882352941,2.941176471,5.071428571,9.097560976,10.57142857,2.703470032,16,1.176470588,17,82.35294118,17.64705882,0,0,0,37.5,62.5,83.33333333,16.66666667,0.804289544,2.949061662,1.876675603,4.825737265,6.434316354,0.268096515,2.949061662,0.536193029,12.33243968,2.144772118,1.608579088,0.268096515,2.412868633,1.876675603,0,13.40482574,0,0.536193029,0,0,0.536193029,0.804289544,0,1.072386059,0,0,0,0.536193029,3.753351206,6.434316354,6.166219839,0.268096515,0.268096515,3.753351206,5.09383378,0.268096515,0,0,11.26005362,3.753351206,0,0.804289544,24.32432432,75.67567568,96.42857143,3.571428571,1.45,60,35,5,0,0
RBRU10-P1.conllu,93,1264,13.59139785,4.609645132,0.6,0.47,0.75,0.595,6.091772152,10.68037975,6.803797468,6.487341772,2.610759494,14.87341772,0.079113924,18.27531646,0.870253165,0,7.832278481,1.819620253,13.05379747,0.870253165,0,9.651898734,0,0.49044586,6.944444444,0,16.66666667,76.38888889,0,1.666666667,93.33333333,5,49.18032787,6.557377049,34.42622951,9.836065574,0,0,10,1.666666667,36.66666667,16.66666667,1.666666667,33.33333333,1.315789474,3.947368421,2.631578947,92.10526316,0,0,100,0,90.24390244,0,7.317073171,2.43902439,8.108108108,0,13.51351351,8.108108108,1.351351351,68.91891892,1.752688172,83.87096774,2.442622951,1.666666667,21.66666667,29.16666667,30,10.83333333,5,1.666666667,3.075268817,7.754601227,6.806451613,2.499005964,33,1.20754717,53,84.90566038,9.433962264,5.660377358,0,0,32.35294118,67.64705882,80.72289157,19.27710843,0.632911392,1.186708861,0.632911392,6.803797468,4.825949367,0.237341772,2.768987342,0,9.651898734,2.610759494,0.632911392,0.316455696,3.797468354,3.71835443,0.079113924,13.84493671,0.870253165,0,0.079113924,0,0.712025316,0.553797468,0.158227848,0.079113924,0,0,0.158227848,0.474683544,1.819620253,5.537974684,6.329113924,0.158227848,0.870253165,4.905063291,3.876582278,0.079113924,0,0.316455696,13.05379747,7.357594937,0.079113924,0.791139241,58.64661654,41.35338346,85.45454545,14.54545455,1.057692308,94.23076923,5.769230769,0,0,0
MORF19-A1.conllu,74,2599,35.12162162,4.716352477,0.54,0.485,0.66,0.57,4.270873413,12.42785687,5.925355906,5.155829165,3.116583301,14.08233936,0.115429011,16.23701424,0.384763371,0,10.00384763,1.539053482,12.23547518,2.193151212,0,12.27395152,0.038476337,0.458570802,3.139013453,5.829596413,28.25112108,62.78026906,3.703703704,1.234567901,90.74074074,4.320987654,50.78369906,4.07523511,26.01880878,19.12225705,0,0,11.11111111,2.469135802,22.22222222,16.66666667,0,47.5308642,0.787401575,5.511811024,6.299212598,87.4015748,8.403361345,0,86.55462185,5.042016807,88.80597015,0.746268657,4.47761194,5.970149254,15.96638655,2.521008403,18.48739496,4.201680672,0,58.82352941,4.837837838,93.24324324,2.73354232,1.282051282,11.85897436,30.44871795,31.08974359,15.70512821,7.051282051,2.564102564,5.891891892,7.259776536,18.28378378,3.346624377,86,1.201923077,104,85.57692308,9.615384615,3.846153846,0.961538462,0,26.25,73.75,73.45679012,26.54320988,0.538668719,2.462485571,2.270103886,5.656021547,3.270488649,0.269334359,2.61639092,0.808003078,10.46556368,3.116583301,1.192766449,0.115429011,4.771065795,1.731435167,0.076952674,13.23585995,0.846479415,0,0.076952674,0,1.69295883,0.230858022,0.269334359,0.384763371,0,0,0.461716045,0.423239708,3.963062716,5.078876491,5.271258176,0.884955752,0.192381685,5.732974221,5.271258176,0.076952674,0,0.307810696,12.23547518,2.847248942,0.038476337,1.115813775,25.93984962,74.06015038,90.86294416,9.137055838,1.292207792,78.57142857,16.23376623,3.246753247,1.298701299,0.649350649
GNAP96-C1.conllu,41,1757,42.85365854,4.787639711,0.56,0.53,0.64,0.625,7.455890723,15.5947638,5.065452476,3.75640296,4.268639727,15.5947638,0,18.09903244,0.227660785,0,5.634604439,2.845759818,13.43198634,1.195219124,0,6.829823563,0,0.465483235,1.369863014,2.739726027,38.35616438,57.53424658,0,6.666666667,88.88888889,4.444444444,37.5,2.5,36.66666667,23.33333333,0,0,26.66666667,6.666666667,17.77777778,13.33333333,2.222222222,33.33333333,4.6875,4.6875,9.375,81.25,1.724137931,0,89.65517241,8.620689655,87.87878788,0,3.03030303,9.090909091,20.68965517,1.724137931,10.34482759,5.172413793,0,62.06896552,3.512195122,73.17073171,2.833333333,0.840336134,12.60504202,32.77310924,25.21008403,14.28571429,10.92436975,3.361344538,6.219512195,12.20138889,22.90243902,3.453378378,73,1.362745098,102,71.56862745,22.54901961,3.921568627,1.960784314,0,31.25,68.75,74.54545455,25.45454545,0.739897553,1.365964713,1.422879909,4.723961298,5.577689243,0.569151964,2.162777462,0.056915196,13.88730791,4.268639727,0.455321571,0.113830393,6.146841207,1.536710302,0,13.83039271,1.309049516,0.455321571,0,0,0.62606716,0.113830393,0,0.284575982,0,0,0.227660785,0.569151964,2.788844622,8.992601024,3.073420603,0.056915196,0.227660785,3.073420603,4.439385316,0.113830393,0,0.170745589,13.43198634,2.333523051,0,0.853727945,27.27272727,72.72727273,85,15,1.389830508,71.18644068,18.6440678,10.16949153,0,0
DSAN20-A1.conllu,33,1197,36.27272727,4.683022571,0.63,0.49,0.71,0.6,3.091060986,10.35923141,7.68588137,6.098579783,3.341687552,12.94903926,0.083542189,13.78446115,0.417710944,0,10.27568922,1.754385965,14.87050961,3.50877193,0,11.77944862,0,0.447497547,5,5,39,51,6.451612903,1.612903226,85.48387097,6.451612903,43.97163121,2.836879433,26.24113475,26.95035461,0,0,32.25806452,3.225806452,9.677419355,17.74193548,1.612903226,35.48387097,8.571428571,8.571428571,10,72.85714286,12.6984127,0,85.71428571,1.587301587,86.30136986,0,4.109589041,9.589041096,19.04761905,11.11111111,20.63492063,6.349206349,0,42.85714286,4.757575758,93.93939394,2.985815603,0.735294118,11.02941176,21.32352941,29.41176471,22.79411765,11.76470588,2.941176471,5.393939394,7.624203822,17.33333333,3.464503043,67,1.096774194,31,90.32258065,9.677419355,0,0,0,34.17721519,65.82278481,90.69767442,9.302325581,0.250626566,1.921470343,2.923976608,7.518796992,1.921470343,0.167084378,4.260651629,0.417710944,9.022556391,3.341687552,2.172096909,0.167084378,4.17710944,1.336675021,0.167084378,11.44527987,1.42021721,0.083542189,0,0,0.835421888,0.167084378,0.083542189,0.167084378,0,0,0.083542189,1.002506266,4.845446951,2.923976608,6.516290727,0.501253133,0.250626566,5.59732665,5.513784461,0.167084378,0,0,14.87050961,2.756892231,0,1.002506266,24.6031746,75.3968254,82.10526316,17.89473684,1.46969697,62.12121212,31.81818182,3.03030303,3.03030303,0
WVEL99-A1.conllu,73,2199,30.12328767,4.691282051,0.6,0.515,0.7,0.62,4.547521601,13.23328786,5.957253297,5.229649841,2.864938608,14.68849477,0,17.14415643,0.45475216,0,9.504320146,2.50113688,11.32332879,2.182810368,0,10.36834925,0,0.456923077,2.469135802,6.790123457,35.18518519,55.55555556,0,3.389830508,90.6779661,5.93220339,51.75438596,2.192982456,26.75438596,19.29824561,0,0,14.40677966,5.084745763,11.86440678,18.6440678,2.542372881,47.45762712,4.504504505,11.71171171,10.81081081,72.97297297,1.98019802,0,85.14851485,12.87128713,87.82608696,0,3.47826087,8.695652174,6.930693069,0,18.81188119,11.88118812,0,62.37623762,3.561643836,91.78082192,2.706140351,1.351351351,12.61261261,27.92792793,31.98198198,18.01801802,7.207207207,0.900900901,5.616438356,8.457692308,12.43835616,2.941959531,78,1.154545455,110,85.45454545,13.63636364,0.909090909,0,0,26.54867257,73.45132743,81.25,18.75,0.636653024,3.046839472,1.637107776,5.729877217,3.683492497,0.409276944,3.046839472,0.500227376,12.09640746,2.819463392,0.954979536,0.136425648,3.410641201,1.682582992,0.136425648,14.05184175,0.591177808,0.045475216,0,0,1.318781264,0.272851296,0.090950432,0.45475216,0,0,0.45475216,0.500227376,3.092314688,6.639381537,5.911778081,0.500227376,0.272851296,4.638472033,5.275125057,0.272851296,0,0.272851296,11.27785357,3.319690769,0.045475216,0.773078672,30.45454545,69.54545455,86.92810458,13.07189542,1.254098361,78.68852459,17.21311475,4.098360656,0,0
RPRO99-F1.conllu,8,229,28.625,4.859903382,0.61,0.545,0.74,0.65,6.550218341,10.91703057,9.170305677,6.986899563,3.930131004,14.84716157,0,13.5371179,0.436681223,0,7.423580786,3.493449782,9.6069869,2.183406114,0,10.91703057,0,0.483091787,10.52631579,5.263157895,47.36842105,36.84210526,0,0,100,0,40,0,24,36,0,0,30,10,20,10,0,30,0,18.75,18.75,62.5,0,0,84.61538462,15.38461538,81.25,0,0,18.75,15.38461538,0,15.38461538,7.692307692,0,61.53846154,3.375,87.5,3.12,0,12.5,20.83333333,25,20.83333333,12.5,8.333333333,5,8.481481481,13.625,3.055276382,21,1.333333333,6,66.66666667,33.33333333,0,0,0,14.28571429,85.71428571,80,20,0,2.183406114,1.310043668,8.733624454,5.240174672,0,5.240174672,0.873362445,9.6069869,3.930131004,0.873362445,0,4.366812227,0.873362445,0,14.41048035,0.436681223,0,0,0,2.183406114,0.436681223,0.436681223,0.436681223,0,0,0.436681223,0,3.493449782,4.366812227,4.80349345,1.746724891,0.436681223,3.056768559,5.676855895,0,0,0,9.6069869,3.493449782,0,1.310043668,35,65,100,0,1.3,70,30,0,0,0
ELET22-F1.conllu,50,1472,29.44,4.860091743,0.59,0.42,0.74,0.56,6.589673913,11.68478261,6.929347826,7.472826087,2.85326087,14.33423913,0,15.76086957,0.067934783,0,8.695652174,1.426630435,11.14130435,2.581521739,0,10.46195652,0,0.463302752,1.98019802,5.940594059,42.57425743,49.5049505,1.724137931,1.724137931,79.31034483,17.24137931,37.66233766,1.298701299,33.11688312,27.92207792,0,0,13.79310345,1.724137931,10.34482759,29.31034483,0,44.82758621,1.923076923,10.57692308,10.57692308,76.92307692,2.150537634,0,89.24731183,8.602150538,84.54545455,0,5.454545455,10,21.50537634,2.150537634,13.97849462,10.75268817,0,51.61290323,3.76,94,2.694805195,2.649006623,11.25827815,32.45033113,29.13907285,15.89403974,3.973509934,4.635761589,5.52,7.829787234,13.82,3.075456712,59,1.245283019,53,81.13207547,13.20754717,5.660377358,0,0,21.42857143,78.57142857,86.20689655,13.79310345,0.611413043,3.057065217,1.698369565,6.589673913,4.483695652,0.203804348,4.6875,0.407608696,9.918478261,2.85326087,1.494565217,0.135869565,4.211956522,2.377717391,0.067934783,13.04347826,1.086956522,0.203804348,0,0,1.358695652,0.27173913,0,0.475543478,0,0,0.27173913,0.27173913,4.347826087,4.95923913,5.706521739,0.135869565,0.067934783,4.483695652,4.95923913,0,0,0,11.07336957,3.39673913,0,1.086956522,29.375,70.625,87.61061947,12.38938053,1.357142857,75,16.66666667,5.952380952,2.380952381,0
